destination,aspect,aspect_name,total,positive,negative,neutral,sentiment_score
Agrowisata Bhumi Merapi,photo_spot,Photo Spots,37,2,32,3,-0.811
Agrowisata Bhumi Merapi,price,Price/Value,25,2,22,1,-0.8
Agrowisata Bhumi Merapi,atmosphere,Atmosphere,19,1,18,0,-0.895
Agrowisata Bhumi Merapi,food,Food & Beverage,19,2,16,1,-0.737
Agrowisata Bhumi Merapi,scenery,Scenery/View,15,1,13,1,-0.8
Agrowisata Bhumi Merapi,accessibility,Accessibility,12,0,10,2,-0.833
Agrowisata Bhumi Merapi,cleanliness,Cleanliness,11,1,10,0,-0.818
Agrowisata Bhumi Merapi,crowd,Crowd Level,10,0,9,1,-0.9
Agrowisata Bhumi Merapi,facilities,Facilities,9,0,9,0,-1.0
Agrowisata Bhumi Merapi,service,Service,7,1,6,0,-0.714
Agrowisata Bhumi Merapi,safety,Safety,2,0,2,0,-1.0
Alun-alun Kidul,accessibility,Accessibility,6,0,6,0,-1.0
Alun-alun Kidul,food,Food & Beverage,6,1,5,0,-0.667
Alun-alun Kidul,crowd,Crowd Level,6,0,6,0,-1.0
Alun-alun Kidul,facilities,Facilities,5,1,4,0,-0.6
Alun-alun Kidul,atmosphere,Atmosphere,5,0,5,0,-1.0
Alun-alun Kidul,cleanliness,Cleanliness,3,0,3,0,-1.0
Alun-alun Kidul,price,Price/Value,2,0,2,0,-1.0
Alun-alun Kidul,scenery,Scenery/View,1,0,1,0,-1.0
Alun-alun Kidul,service,Service,1,0,1,0,-1.0
Bukit Bintang,scenery,Scenery/View,32,4,28,0,-0.75
Bukit Bintang,food,Food & Beverage,24,5,17,2,-0.5
Bukit Bintang,atmosphere,Atmosphere,14,1,12,1,-0.786
Bukit Bintang,accessibility,Accessibility,13,1,9,3,-0.615
Bukit Bintang,price,Price/Value,12,2,10,0,-0.667
Bukit Bintang,facilities,Facilities,10,3,6,1,-0.3
Bukit Bintang,cleanliness,Cleanliness,6,3,3,0,0.0
Bukit Bintang,crowd,Crowd Level,5,2,2,1,0.0
Bukit Bintang,service,Service,3,1,2,0,-0.333
Bukit Bintang,photo_spot,Photo Spots,3,0,2,1,-0.667
Bukit Bintang,safety,Safety,2,0,2,0,-1.0
Candi Borobudur,historical_value,Historical/Cultural Value,10,1,5,4,-0.4
Candi Borobudur,price,Price/Value,7,0,3,4,-0.429
Candi Borobudur,service,Service,7,2,3,2,-0.143
Candi Borobudur,accessibility,Accessibility,6,0,4,2,-0.667
Candi Borobudur,crowd,Crowd Level,6,1,2,3,-0.167
Candi Borobudur,facilities,Facilities,4,0,3,1,-0.75
Candi Borobudur,scenery,Scenery/View,4,0,4,0,-1.0
Candi Borobudur,atmosphere,Atmosphere,4,0,4,0,-1.0
Candi Borobudur,cleanliness,Cleanliness,3,0,3,0,-1.0
Candi Borobudur,safety,Safety,2,0,1,1,-0.5
Candi Borobudur,photo_spot,Photo Spots,1,0,0,1,0.0
Candi Borobudur,food,Food & Beverage,1,0,1,0,-1.0
Candi Kalasan,historical_value,Historical/Cultural Value,44,3,29,12,-0.591
Candi Kalasan,accessibility,Accessibility,29,1,21,7,-0.69
Candi Kalasan,price,Price/Value,20,2,17,1,-0.75
Candi Kalasan,crowd,Crowd Level,13,3,9,1,-0.462
Candi Kalasan,scenery,Scenery/View,11,2,6,3,-0.364
Candi Kalasan,cleanliness,Cleanliness,9,1,8,0,-0.778
Candi Kalasan,atmosphere,Atmosphere,9,2,7,0,-0.556
Candi Kalasan,facilities,Facilities,9,1,5,3,-0.444
Candi Kalasan,photo_spot,Photo Spots,5,3,1,1,0.4
Candi Kalasan,service,Service,3,0,2,1,-0.667
Candi Kalasan,food,Food & Beverage,3,0,3,0,-1.0
Candi Kalasan,safety,Safety,2,1,0,1,0.5
Candi Mendut,historical_value,Historical/Cultural Value,8,0,2,6,-0.25
Candi Mendut,facilities,Facilities,5,0,5,0,-1.0
Candi Mendut,price,Price/Value,5,0,4,1,-0.8
Candi Mendut,accessibility,Accessibility,5,0,4,1,-0.8
Candi Mendut,atmosphere,Atmosphere,4,0,4,0,-1.0
Candi Mendut,cleanliness,Cleanliness,3,0,3,0,-1.0
Candi Mendut,scenery,Scenery/View,1,0,1,0,-1.0
Candi Mendut,photo_spot,Photo Spots,1,0,0,1,0.0
Candi Mendut,service,Service,1,0,1,0,-1.0
Candi Mendut,food,Food & Beverage,1,0,1,0,-1.0
Candi Prambanan,historical_value,Historical/Cultural Value,45,1,37,7,-0.8
Candi Prambanan,price,Price/Value,27,1,23,3,-0.815
Candi Prambanan,scenery,Scenery/View,22,1,21,0,-0.909
Candi Prambanan,accessibility,Accessibility,21,0,18,3,-0.857
Candi Prambanan,atmosphere,Atmosphere,21,0,19,2,-0.905
Candi Prambanan,crowd,Crowd Level,18,1,15,2,-0.778
