destination,username,stars,original_text,cleanliness_sentiment,cleanliness_confidence,accessibility_sentiment,accessibility_confidence,scenery_sentiment,scenery_confidence,atmosphere_sentiment,atmosphere_confidence,food_sentiment,food_confidence,crowd_sentiment,crowd_confidence,photo_spot_sentiment,photo_spot_confidence,historical_value_sentiment,historical_value_confidence,facilities_sentiment,facilities_confidence,price_sentiment,price_confidence,service_sentiment,service_confidence,safety_sentiment,safety_confidence,aspects_detected,aspect_sentiments,num_aspects
Candi Prambanan,BMA,5,"Saya berkunjung ke Candi Prambanan dan jujur tempat ini bikin kagum. Begitu masuk area candi, langsung terasa megahnya bangunan bangunan candi yang berdiri tinggi dan kokoh. Suasananya tenang, luas, dan bikin kita pelan pelan jalan sambil menikmati setiap sudutnya. Area kompleksnya besar dan tertata rapi, jadi enak buat jalan santai tanpa terburu buru. Detail relief di dinding candi juga luar biasa. Kalau diperhatikan satu satu, kelihatan betapa serius dan detailnya proses pembuatannya. Rasanya ",negative,0.997,negative,0.998,negative,0.995,negative,0.996,negative,0.997,negative,0.995,negative,0.994,negative,0.996,,,,,,,,,"cleanliness, accessibility, scenery, atmosphere, food, crowd, photo_spot, historical_value",cleanliness:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; crowd:negative; photo_spot:negative; historical_value:negative,8
Candi Prambanan,Erwin Nugroho,5,"Candi Prambanan emang nggak pernah gagal bikin kagum. Begitu masuk area, langsung disambut view candi yang megah dan super estetik — cocok banget buat foto-foto, konten IG, atau sekadar jalan santai nikmatin suasana. Areanya luas, bersih, dan tertata rapi, jadi nyaman walau datang ramean bareng temen atau keluarga. Fasilitasnya juga lengkap, mulai dari toilet bersih, musala, food court, sampai shuttle di dalam area. Kalau datang sore menjelang sunset, vibes-nya dapet banget, cahaya mataharinya b",negative,0.997,negative,0.997,negative,0.995,negative,0.997,,,,,negative,0.987,negative,0.997,negative,0.996,negative,0.996,negative,0.996,,,"cleanliness, facilities, price, service, accessibility, scenery, atmosphere, photo_spot, historical_value",cleanliness:negative; facilities:negative; price:negative; service:negative; accessibility:negative; scenery:negative; atmosphere:negative; photo_spot:negative; historical_value:negative,9
Candi Prambanan,Pingkan Shela,5,"Slah 2 tmpat bersejarah d jogja. Berlibur smbil belajar wkwk. Untuk tiket bisa online/ots, dan ada bberapa kategori. Dianjurkan untuk bawa minum yaa krna kliling candi itu capee. Ada bberapa tempat, ada minizoo juga 🥰 …",,,,,,,,,neutral,0.659,,,,,neutral,0.924,,,neutral,0.792,,,,,"price, food, historical_value",price:neutral; food:neutral; historical_value:neutral,3
Candi Prambanan,Lutfiah Rahmadini,3,"Day 3 to Yogyakarta (18 Okt 25): Yeay, akhir dari perjalanan di Yogyakarta. Tepat nya di Sabtu pagi, abis sarapan Nasi Rames Bang Udin yang Deket dengan Halte Trans Jogja Mangkubumi 1. Sekalian naik Trans Jogja untuk ke Candi Prambanan. Perjalanan kayanya hampir 1 jam an. Berenti di Halte terminal Prambanan, dan dari situ lumayan jauh untuk ke Prambanan nya. Ada beberapa opsi, bisa naik becak/bentor, Grabcar atau kalo mau ngirit jalan kaki 🤭🙃 (gempor dluan sebelum smpe Prambanan ahhaha). Tpi aku",,,negative,0.994,,,,,positive,0.756,,,,,negative,0.961,neutral,0.557,negative,0.877,,,,,"facilities, price, accessibility, food, historical_value",facilities:neutral; price:negative; accessibility:negative; food:positive; historical_value:negative,5
Candi Prambanan,Arman Said,5,"Di week day pengunjung tidak terlalu ramai. Namun mungkin jg akan banyak kunjungan dari siswa/murid-murid yang melakukan study tour. Agar lebih mudah untuk memahami sejarah dan nilai2 yang terkandung dalam bangunan candi disarankan menggunakan tour guide resmi yg banyak terdapat di area entrance. Biaya untuk tour guide Rp. 150.000,- untuk 2 jam berkeliling. Relatif terjangkau. Tour Guide selain membantu dalam menjelaskan sejarah dan nilai2 candi jg bisa diminta untuk berfoto, juga mencarikan spo",,,negative,0.926,,,negative,0.96,,,negative,0.891,negative,0.972,negative,0.883,negative,0.812,negative,0.775,negative,0.954,,,"facilities, price, service, accessibility, atmosphere, crowd, photo_spot, historical_value",facilities:negative; price:negative; service:negative; accessibility:negative; atmosphere:negative; crowd:negative; photo_spot:negative; historical_value:negative,8
Candi Prambanan,8941 ardiansyah,5,"Fasilitas di kawasan wisata ini juga lengkap: area parkir luas, jalur pedestrian rapi, serta pusat informasi dan museum mini yang membuat pengalaman berkunjung semakin nyaman dan edukatif. Pelayanan petugas ramah dan profesional, membantu pengunjung mengenal sejarah candi dengan penjelasan yang informatif. ✨ Candi Prambanan bukan sekadar tempat wisata, tetapi perjalanan spiritual dan budaya yang mengingatkan kita akan kejayaan dan harmoni masa lalu.",negative,0.996,,,,,negative,0.995,,,negative,0.974,,,negative,0.756,negative,0.991,,,negative,0.989,,,"cleanliness, facilities, service, atmosphere, crowd, historical_value",cleanliness:negative; facilities:negative; service:negative; atmosphere:negative; crowd:negative; historical_value:negative,6
Candi Prambanan,natasha lily,4,"Situs candi yang luas buat dijelajahi, ada museumnya juga di dalamnya dan bisa sewa sepeda kalo capek jalan kaki berkeliling candi. HTM untuk wisatawan lokal 90rb, ada juga tiket terusan dgn harga yg lebih mahal. Kalo kesini mending pagi biar bisa leluasa eksplor dan belum terlalu panas. Di pintu keluar banyak tempat kuliner dan toko oleh2.",,,negative,0.979,,,,,positive,0.797,negative,0.981,,,negative,0.916,,,negative,0.537,,,,,"price, accessibility, food, crowd, historical_value",price:negative; accessibility:negative; food:positive; crowd:negative; historical_value:negative,5
Candi Prambanan,Ichwan Ahmad Hadi,5,"Candi Prambanan merupakan kompleks candi Hindu yang terawat dengan baik dan memiliki nilai sejarah serta arsitektur yang sangat kuat. Tata kawasan luas dan tertata rapi, dengan jalur pejalan kaki yang nyaman untuk berkeliling. Detail relief dan struktur candinya memberikan gambaran jelas tentang kekayaan budaya dan sejarah Nusantara. Area pengunjung dikelola cukup baik, tersedia papan informasi, area istirahat, dan fasilitas umum yang memadai. Suasana relatif nyaman, meskipun pada waktu tertentu",negative,0.987,,,,,negative,0.988,,,negative,0.977,,,negative,0.991,negative,0.969,negative,0.986,,,,,"cleanliness, facilities, price, atmosphere, crowd, historical_value",cleanliness:negative; facilities:negative; price:negative; atmosphere:negative; crowd:negative; historical_value:negative,6
Candi Prambanan,Alabanyo Brebahama,5,"Saya cukup puas saat kunjungan ke sini. Dengan tambahan membayar 150 ribu Rupiah untuk tour guide, saya dan group mendapatkan penjelasan yang menarik tentang sejarah Candi Prambaanan, cerita Bandung Bondowoso dan Rorojongrang, dan Rama Shinta. Memang ada undakan, namun tidak sebanyak Borobudur. Bawa senter kalau mau masuk dalam ruangan candi karena gelap. Untuk arah keluar, pasar oleh-olehnya lumayan oke. Saya membeli gantungan kunci dan miniatur candi. Ada baju, tas, dan pernak-pernik lain buat",,,neutral,0.783,,,,,,,,,,,negative,0.812,,,negative,0.959,negative,0.914,,,"price, service, accessibility, historical_value",price:negative; service:negative; accessibility:neutral; historical_value:negative,4
Candi Prambanan,Rendy Kurniawan,5,"Tempat wisata yang bagus dan bisa mengenal lebih dekat dengan sejarah, disarankan untuk menggunakan payung agar tidak kehujanan/kepanasan saat mengeksplos kawasan",,,negative,0.958,negative,0.958,,,,,,,,,negative,0.958,,,,,,,,,"accessibility, scenery, historical_value",accessibility:negative; scenery:negative; historical_value:negative,3
