aspect,aspect_name,aspect_name_id,total_mentions,positive,negative,neutral,positive_pct,negative_pct,neutral_pct,avg_confidence,sentiment_score
scenery,Scenery/View,Pemandangan,957,68,848,41,7.1%,88.6%,4.3%,0.933,-0.815
accessibility,Accessibility,Aksesibilitas,661,62,525,74,9.4%,79.4%,11.2%,0.901,-0.7
price,Price/Value,Harga,599,67,447,85,11.2%,74.6%,14.2%,0.9,-0.634
food,Food & Beverage,Makanan,554,50,459,45,9.0%,82.9%,8.1%,0.92,-0.738
atmosphere,Atmosphere,Suasana,496,41,435,20,8.3%,87.7%,4.0%,0.935,-0.794
facilities,Facilities,Fasilitas,480,50,366,64,10.4%,76.2%,13.3%,0.906,-0.658
crowd,Crowd Level,Keramaian,382,39,306,37,10.2%,80.1%,9.7%,0.915,-0.699
photo_spot,Photo Spots,Spot Foto,350,34,280,36,9.7%,80.0%,10.3%,0.909,-0.703
cleanliness,Cleanliness,Kebersihan,322,35,278,9,10.9%,86.3%,2.8%,0.937,-0.755
safety,Safety,Keamanan,239,15,210,14,6.3%,87.9%,5.9%,0.939,-0.816
historical_value,Historical/Cultural Value,Nilai Sejarah,227,13,154,60,5.7%,67.8%,26.4%,0.885,-0.621
service,Service,Pelayanan,146,14,118,14,9.6%,80.8%,9.6%,0.907,-0.712
