destination,username,stars,original_text,aspects_detected,aspect_sentiments,num_aspects,overall_sentiment,analysis_status
Pantai Baron,yakob daud aurariskar,3,Pantai Baron merupakan sebuah teluk berbentuk 'U' yang diapit oleh perbukitan karang berwarna hijau. Meski pasir pantai yang dimiliki berwarna hitam. Namun dengan ada jalur pendakian sisi timur lumayan mengurangi rasa kekecewaan. . Tidak bisa buat berenang karena air laut nya penuh endapan lumpur dan kotor. Karena disini seperti pos kapal penangkapan ikan juga. Jadi banyak kapal lalu lalang dan menjual hasil tangkapan ikan. Disamping pantai nya juga menjorok jadi nya nya jangan berharap bisa ber,,,0,error,failed
Malioboro,Ariful Anwar,5,pasti mampir kesini buat nyari oleh2 kalau dari gunung kidul,,,0,error,failed
Pantai Ngobaran,Poe,5,"Pantainya indah, vibesnya kayak di bali, candi dan budayanya masih kental. Kamu juga bisa menyewa pakaian adat bali.",,,0,error,failed
Sendang Sono,Steffi Wong,5,"Untuk lokasi dia diatas gunung gitu agak menanjak. Nah kalau pakai grab suruh nunggu aja kalau tidak susah untuk dapat driver pulangnya. Untuk tempat asri, tidak terlalu susah juga medannya. Masuk tidak bayar. Bisa beli rosario etc juga di pintu masuk gitu. Kalau mau ibadah pakai lilin beli dulu sebelum naik. Yang galau mau ibadah bisa kemari karena katanya sih ini paling terkenal disana. Patung Bunda Marianya cantik banget . Walau bukan Katholik kita bisa juga kesana ya",,,0,error,failed
Prawirotaman,Maulana Isfailah,5,"Kalau ke jalan ini, ya pasti ke tempo gelato. Sepanjang jalan ini juga banyak cafe resto dan juga toko pernak pernik kerajinan.",,,0,error,failed
Pantai Sadranan,Nisha Mahfudz,5,"Worth it untuk dikunjungi ya guys, anak2 happy. Oya kalo naik kano usahakan pinjem sepatu dadi penyedia jasa, pas surut sakit bgt jalan dikarang buat geser kano.",,,0,error,failed
Candi Kalasan,Budi Prasetyo Utomo,4,Resto yg cocok unt kumpul keluarga dan sahabat ... Dgn menu masakan yg beragam dan laziz ...😀👍 Letak strategis dan mudah parkir.,,,0,error,failed
Museum Ullen Sentalu,Dena Pangesti,4,"Bagus si. Cocok buat orang yg suka sama sejarah. Asa 3 jenis tiket, paling murah 50rb, 60rb sama 100rb. Lokasinya jauh banget di dataran tinggi, jadi harus siap fisik yg fit",,,0,error,failed
Sendang Sono,Definisi ikan segar,5,"Saya berkunjung ke keluarga. Setelah menaiki gunung, turunin lembah, dan sungai mengalir. Akhirnya sampai...",,,0,error,failed
Pantai Sadeng,Dwin desta,4,"Objek wisata ini cukup mengesankan dengan menghadirkan panorama pasir putih yang dipadukan dengan air laut sehingga. Menghasilkan rona yang berbeda. Ombak di Pantai Sadeng tidak terlalu besar. Sehingga, anda bisa memanfaatkannya dengan cara berenang. Hanya saja perlu diperhatikan untuk tidak sampai ke tengah. Untuk menikmati setiap pesona yang ditawarkan anda wajib membayar harga tiket masuk Pantai Sadeng sebesar 5 ribu rupiah. Di tambah dengan uang parkir yang akan dikenakan 10 ribu rupiah untu",,,0,error,failed
