destination,aspect,aspect_name,total,positive,negative,neutral,sentiment_score
Agrowisata Bhumi Merapi,scenery,Scenery/View,33,33,0,0,1.0
Agrowisata Bhumi Merapi,facilities,Facilities,33,32,1,0,0.939
Agrowisata Bhumi Merapi,price,Price/Value,32,32,0,0,1.0
Agrowisata Bhumi Merapi,service,Service,16,15,1,0,0.875
Agrowisata Bhumi Merapi,historical_value,Historical/Cultural Value,16,14,2,0,0.75
Agrowisata Bhumi Merapi,food,Food & Beverage,14,7,3,4,0.286
Agrowisata Bhumi Merapi,crowd,Crowd Level,14,9,5,0,0.286
Agrowisata Bhumi Merapi,photo_spot,Photo Spots,14,14,0,0,1.0
Agrowisata Bhumi Merapi,accessibility,Accessibility,11,9,1,1,0.727
Agrowisata Bhumi Merapi,atmosphere,Atmosphere,10,9,1,0,0.8
Agrowisata Bhumi Merapi,cleanliness,Cleanliness,4,4,0,0,1.0
Bukit Bintang,scenery,Scenery/View,40,40,0,0,1.0
Bukit Bintang,atmosphere,Atmosphere,23,21,1,1,0.87
Bukit Bintang,food,Food & Beverage,22,12,7,3,0.227
Bukit Bintang,price,Price/Value,11,5,3,3,0.182
Bukit Bintang,facilities,Facilities,9,4,5,0,-0.111
Bukit Bintang,service,Service,9,2,7,0,-0.556
Bukit Bintang,accessibility,Accessibility,8,1,7,0,-0.75
Bukit Bintang,cleanliness,Cleanliness,5,1,4,0,-0.6
Bukit Bintang,crowd,Crowd Level,3,0,3,0,-1.0
Candi Borobudur,scenery,Scenery/View,10,9,1,0,0.8
Candi Borobudur,service,Service,10,9,1,0,0.8
Candi Borobudur,price,Price/Value,10,8,2,0,0.6
Candi Borobudur,facilities,Facilities,9,9,0,0,1.0
Candi Borobudur,historical_value,Historical/Cultural Value,2,2,0,0,1.0
Candi Borobudur,cleanliness,Cleanliness,2,2,0,0,1.0
Candi Borobudur,crowd,Crowd Level,2,0,2,0,-1.0
Candi Borobudur,accessibility,Accessibility,1,0,1,0,-1.0
Candi Borobudur,safety,Safety,1,0,1,0,-1.0
Candi Kalasan,scenery,Scenery/View,30,28,1,1,0.9
Candi Kalasan,historical_value,Historical/Cultural Value,25,23,1,1,0.88
Candi Kalasan,facilities,Facilities,21,13,7,1,0.286
Candi Kalasan,price,Price/Value,19,18,0,1,0.947
Candi Kalasan,accessibility,Accessibility,15,12,3,0,0.6
Candi Kalasan,atmosphere,Atmosphere,9,7,2,0,0.556
Candi Kalasan,cleanliness,Cleanliness,8,7,1,0,0.75
Candi Kalasan,service,Service,6,5,1,0,0.667
Candi Kalasan,crowd,Crowd Level,3,1,2,0,-0.333
Candi Kalasan,food,Food & Beverage,2,2,0,0,1.0
Candi Kalasan,photo_spot,Photo Spots,1,1,0,0,1.0
Candi Mendut,scenery,Scenery/View,10,10,0,0,1.0
Candi Mendut,historical_value,Historical/Cultural Value,8,8,0,0,1.0
Candi Mendut,facilities,Facilities,7,7,0,0,1.0
Candi Mendut,cleanliness,Cleanliness,3,3,0,0,1.0
Candi Mendut,accessibility,Accessibility,3,3,0,0,1.0
Candi Mendut,service,Service,3,3,0,0,1.0
Candi Mendut,price,Price/Value,2,2,0,0,1.0
Candi Prambanan,facilities,Facilities,36,35,1,0,0.944
Candi Prambanan,price,Price/Value,35,30,5,0,0.714
Candi Prambanan,scenery,Scenery/View,31,31,0,0,1.0
Candi Prambanan,service,Service,18,17,1,0,0.889
Candi Prambanan,cleanliness,Cleanliness,15,14,1,0,0.867
Candi Prambanan,historical_value,Historical/Cultural Value,14,14,0,0,1.0
Candi Prambanan,atmosphere,Atmosphere,7,7,0,0,1.0
Candi Prambanan,accessibility,Accessibility,6,4,2,0,0.333
Candi Prambanan,crowd,Crowd Level,4,2,2,0,0.0
Candi Prambanan,food,Food & Beverage,3,2,1,0,0.333
Candi Prambanan,photo_spot,Photo Spots,1,1,0,0,1.0
Candi Prambanan,safety,Safety,1,1,0,0,1.0
Gumuk Pasir Parangkusumo,scenery,Scenery/View,41,40,1,0,0.951
Gumuk Pasir Parangkusumo,facilities,Facilities,30,28,2,0,0.867
Gumuk Pasir Parangkusumo,price,Price/Value,30,27,3,0,0.8
Gumuk Pasir Parangkusumo,crowd,Crowd Level,19,17,2,0,0.789
Gumuk Pasir Parangkusumo,atmosphere,Atmosphere,17,17,0,0,1.0
Gumuk Pasir Parangkusumo,photo_spot,Photo Spots,15,15,0,0,1.0
Gumuk Pasir Parangkusumo,service,Service,14,14,0,0,1.0
Gumuk Pasir Parangkusumo,accessibility,Accessibility,13,9,4,0,0.385
Gumuk Pasir Parangkusumo,historical_value,Historical/Cultural Value,12,12,0,0,1.0
Gumuk Pasir Parangkusumo,food,Food & Beverage,1,1,0,0,1.0
Gumuk Pasir Parangkusumo,safety,Safety,1,0,1,0,-1.0
Gumuk Pasir Parangkusumo,cleanliness,Cleanliness,1,1,0,0,1.0
Makam Raja-Raja Imogiri,scenery,Scenery/View,27,27,0,0,1.0
Makam Raja-Raja Imogiri,service,Service,24,21,3,0,0.75
Makam Raja-Raja Imogiri,historical_value,Historical/Cultural Value,18,17,1,0,0.889
Makam Raja-Raja Imogiri,facilities,Facilities,16,10,3,3,0.438
Makam Raja-Raja Imogiri,price,Price/Value,14,8,2,4,0.429
Makam Raja-Raja Imogiri,atmosphere,Atmosphere,11,11,0,0,1.0
Makam Raja-Raja Imogiri,cleanliness,Cleanliness,11,7,0,4,0.636
Makam Raja-Raja Imogiri,accessibility,Accessibility,8,1,7,0,-0.75
