destination,username,stars,original_text,analysis_status,scenery_sentiment,scenery_evidence,cleanliness_sentiment,cleanliness_evidence,facilities_sentiment,facilities_evidence,price_sentiment,price_evidence,atmosphere_sentiment,atmosphere_evidence,historical_value_sentiment,historical_value_evidence,food_sentiment,food_evidence,photo_spot_sentiment,photo_spot_evidence,crowd_sentiment,crowd_evidence,service_sentiment,service_evidence,accessibility_sentiment,accessibility_evidence,safety_sentiment,safety_evidence,aspects_detected,aspect_sentiments,num_aspects,overall_sentiment
Candi Prambanan,BMA,5,"Saya berkunjung ke Candi Prambanan dan jujur tempat ini bikin kagum. Begitu masuk area candi, langsung terasa megahnya bangunan bangunan candi yang berdiri tinggi dan kokoh. Suasananya tenang, luas, dan bikin kita pelan pelan jalan sambil menikmati setiap sudutnya. Area kompleksnya besar dan tertata rapi, jadi enak buat jalan santai tanpa terburu buru. Detail relief di dinding candi juga luar biasa. Kalau diperhatikan satu satu, kelihatan betapa serius dan detailnya proses pembuatannya. Rasanya ",success,positive,bikin kagum,positive,bersih,positive,lengkap,positive,worth it,positive,"tenang, luas, bikin kita pelan pelan jalan sambil menikmati setiap sudutnya",positive,melihat langsung sejarah yang masih hidup sampai sekarang,positive,enak buat jalan santai tanpa terburu buru,positive,banyak spot yang bisa dijadikan tempat foto,positive,lega,,,,,,,"scenery, cleanliness, facilities, price, atmosphere, historical_value, food, photo_spot, crowd",scenery:positive; cleanliness:positive; facilities:positive; price:positive; atmosphere:positive; historical_value:positive; food:positive; photo_spot:positive; crowd:positive,9,positive
Candi Prambanan,Erwin Nugroho,5,"Candi Prambanan emang nggak pernah gagal bikin kagum. Begitu masuk area, langsung disambut view candi yang megah dan super estetik — cocok banget buat foto-foto, konten IG, atau sekadar jalan santai nikmatin suasana. Areanya luas, bersih, dan tertata rapi, jadi nyaman walau datang ramean bareng temen atau keluarga. Fasilitasnya juga lengkap, mulai dari toilet bersih, musala, food court, sampai shuttle di dalam area. Kalau datang sore menjelang sunset, vibes-nya dapet banget, cahaya mataharinya b",success,positive,bagus,negative,kurang bersih,,,negative,mahal,,,,,,,,,,,,,negative,jauh,,,"scenery, accessibility, price, cleanliness",scenery:positive; accessibility:negative; price:negative; cleanliness:negative,4,mixed
Candi Prambanan,Pingkan Shela,5,"Slah 2 tmpat bersejarah d jogja. Berlibur smbil belajar wkwk. Untuk tiket bisa online/ots, dan ada bberapa kategori. Dianjurkan untuk bawa minum yaa krna kliling candi itu capee. Ada bberapa tempat, ada minizoo juga 🥰 …",success,,,,,,,,,,,,,,,,,,,positive,"ramah, helpful, memuaskan",,,,,service,service:positive,1,positive
Candi Prambanan,Lutfiah Rahmadini,3,"Day 3 to Yogyakarta (18 Okt 25): Yeay, akhir dari perjalanan di Yogyakarta. Tepat nya di Sabtu pagi, abis sarapan Nasi Rames Bang Udin yang Deket dengan Halte Trans Jogja Mangkubumi 1. Sekalian naik Trans Jogja untuk ke Candi Prambanan. Perjalanan kayanya hampir 1 jam an. Berenti di Halte terminal Prambanan, dan dari situ lumayan jauh untuk ke Prambanan nya. Ada beberapa opsi, bisa naik becak/bentor, Grabcar atau kalo mau ngirit jalan kaki 🤭🙃 (gempor dluan sebelum smpe Prambanan ahhaha). Tpi aku",success,,,,,positive,lengkap,negative,50k,,,,,,,,,,,,,negative,jauh,,,"accessibility, price, facilities",accessibility:negative; price:negative; facilities:positive,3,mixed
Candi Prambanan,Arman Said,5,"Di week day pengunjung tidak terlalu ramai. Namun mungkin jg akan banyak kunjungan dari siswa/murid-murid yang melakukan study tour. Agar lebih mudah untuk memahami sejarah dan nilai2 yang terkandung dalam bangunan candi disarankan menggunakan tour guide resmi yg banyak terdapat di area entrance. Biaya untuk tour guide Rp. 150.000,- untuk 2 jam berkeliling. Relatif terjangkau. Tour Guide selain membantu dalam menjelaskan sejarah dan nilai2 candi jg bisa diminta untuk berfoto, juga mencarikan spo",success,,,,,positive,lengkap,positive,terjangkau,,,,,,,,,,,positive,ramah,,,,,"facilities, service, price",facilities:positive; service:positive; price:positive,3,positive
Candi Prambanan,8941 ardiansyah,5,"Fasilitas di kawasan wisata ini juga lengkap: area parkir luas, jalur pedestrian rapi, serta pusat informasi dan museum mini yang membuat pengalaman berkunjung semakin nyaman dan edukatif. Pelayanan petugas ramah dan profesional, membantu pengunjung mengenal sejarah candi dengan penjelasan yang informatif. ✨ Candi Prambanan bukan sekadar tempat wisata, tetapi perjalanan spiritual dan budaya yang mengingatkan kita akan kejayaan dan harmoni masa lalu.",success,,,,,positive,lengkap,,,,,positive,membantu pengunjung mengenal sejarah candi dengan penjelasan yang informatif,,,,,,,positive,ramah,,,,,"facilities, service, historical_value",facilities:positive; service:positive; historical_value:positive,3,positive
Candi Prambanan,natasha lily,4,"Situs candi yang luas buat dijelajahi, ada museumnya juga di dalamnya dan bisa sewa sepeda kalo capek jalan kaki berkeliling candi. HTM untuk wisatawan lokal 90rb, ada juga tiket terusan dgn harga yg lebih mahal. Kalo kesini mending pagi biar bisa leluasa eksplor dan belum terlalu panas. Di pintu keluar banyak tempat kuliner dan toko oleh2.",success,positive,luas,,,positive,lengkap,negative,mahal,,,,,,,,,,,,,,,,,"scenery, facilities, price",scenery:positive; facilities:positive; price:negative,3,mixed
Candi Prambanan,Ichwan Ahmad Hadi,5,"Candi Prambanan merupakan kompleks candi Hindu yang terawat dengan baik dan memiliki nilai sejarah serta arsitektur yang sangat kuat. Tata kawasan luas dan tertata rapi, dengan jalur pejalan kaki yang nyaman untuk berkeliling. Detail relief dan struktur candinya memberikan gambaran jelas tentang kekayaan budaya dan sejarah Nusantara. Area pengunjung dikelola cukup baik, tersedia papan informasi, area istirahat, dan fasilitas umum yang memadai. Suasana relatif nyaman, meskipun pada waktu tertentu",success,positive,terawat dengan baik,,,positive,lengkap,positive,sebanding dengan pengalaman budaya dan sejarah yang didapat,positive,relatif nyaman,positive,nilai sejarah serta arsitektur yang sangat kuat,,,,,,,,,,,,,"scenery, facilities, historical_value, atmosphere, price",scenery:positive; facilities:positive; historical_value:positive; atmosphere:positive; price:positive,5,positive
Candi Prambanan,Alabanyo Brebahama,5,"Saya cukup puas saat kunjungan ke sini. Dengan tambahan membayar 150 ribu Rupiah untuk tour guide, saya dan group mendapatkan penjelasan yang menarik tentang sejarah Candi Prambaanan, cerita Bandung Bondowoso dan Rorojongrang, dan Rama Shinta. Memang ada undakan, namun tidak sebanyak Borobudur. Bawa senter kalau mau masuk dalam ruangan candi karena gelap. Untuk arah keluar, pasar oleh-olehnya lumayan oke. Saya membeli gantungan kunci dan miniatur candi. Ada baju, tas, dan pernak-pernik lain buat",success,,,,,positive,lengkap,positive,terjangkau,,,,,,,,,,,positive,ramah,,,,,"service, facilities, price",service:positive; facilities:positive; price:positive,3,positive
Candi Prambanan,Rendy Kurniawan,5,"Tempat wisata yang bagus dan bisa mengenal lebih dekat dengan sejarah, disarankan untuk menggunakan payung agar tidak kehujanan/kepanasan saat mengeksplos kawasan",success,positive,bagus,,,positive,lengkap,positive,terjangkau,,,,,,,,,,,,,,,,,"scenery, facilities, price",scenery:positive; facilities:positive; price:positive,3,positive
