destination,aspect,aspect_name,total,positive,negative,neutral,sentiment_score
Agrowisata Bhumi Merapi,photo_spot,Photo Spots,12,3,8,1,-0.417
Agrowisata Bhumi Merapi,atmosphere,Atmosphere,8,1,7,0,-0.75
Agrowisata Bhumi Merapi,cleanliness,Cleanliness,8,2,5,1,-0.375
Agrowisata Bhumi Merapi,price,Price/Value,6,2,3,1,-0.167
Agrowisata Bhumi Merapi,crowd,Crowd Level,5,1,4,0,-0.6
Agrowisata Bhumi Merapi,scenery,Scenery/View,5,0,5,0,-1.0
Agrowisata Bhumi Merapi,food,Food & Beverage,4,0,4,0,-1.0
Agrowisata Bhumi Merapi,accessibility,Accessibility,4,1,3,0,-0.5
Agrowisata Bhumi Merapi,safety,Safety,4,1,3,0,-0.5
Agrowisata Bhumi Merapi,facilities,Facilities,3,0,3,0,-1.0
Agrowisata Bhumi Merapi,service,Service,2,0,1,1,-0.5
Alun-alun Kidul,accessibility,Accessibility,2,1,1,0,0.0
Alun-alun Kidul,food,Food & Beverage,2,1,1,0,0.0
Alun-alun Kidul,cleanliness,Cleanliness,1,1,0,0,1.0
Alun-alun Kidul,facilities,Facilities,1,1,0,0,1.0
Bukit Bintang,scenery,Scenery/View,10,2,8,0,-0.6
Bukit Bintang,food,Food & Beverage,7,3,4,0,-0.143
Bukit Bintang,accessibility,Accessibility,6,1,5,0,-0.667
Bukit Bintang,atmosphere,Atmosphere,6,2,4,0,-0.333
Bukit Bintang,facilities,Facilities,4,1,3,0,-0.5
Bukit Bintang,price,Price/Value,4,2,2,0,0.0
Bukit Bintang,safety,Safety,4,1,3,0,-0.5
Bukit Bintang,crowd,Crowd Level,3,1,2,0,-0.333
Bukit Bintang,service,Service,2,0,2,0,-1.0
Bukit Bintang,cleanliness,Cleanliness,1,0,1,0,-1.0
Bukit Bintang,photo_spot,Photo Spots,1,0,1,0,-1.0
Candi Kalasan,accessibility,Accessibility,6,3,3,0,0.0
Candi Kalasan,historical_value,Historical/Cultural Value,6,2,4,0,-0.333
Candi Kalasan,price,Price/Value,5,1,4,0,-0.6
Candi Kalasan,facilities,Facilities,2,1,1,0,0.0
Candi Kalasan,food,Food & Beverage,2,2,0,0,1.0
Candi Kalasan,atmosphere,Atmosphere,2,1,1,0,0.0
Candi Kalasan,cleanliness,Cleanliness,1,1,0,0,1.0
Candi Kalasan,service,Service,1,0,1,0,-1.0
Candi Kalasan,scenery,Scenery/View,1,0,1,0,-1.0
Candi Kalasan,safety,Safety,1,0,1,0,-1.0
Candi Mendut,facilities,Facilities,2,0,2,0,-1.0
Candi Mendut,price,Price/Value,2,0,2,0,-1.0
Candi Mendut,accessibility,Accessibility,2,0,2,0,-1.0
Candi Mendut,atmosphere,Atmosphere,2,0,2,0,-1.0
Candi Mendut,historical_value,Historical/Cultural Value,2,0,2,0,-1.0
Candi Mendut,safety,Safety,1,0,1,0,-1.0
Candi Mendut,food,Food & Beverage,1,0,1,0,-1.0
Candi Mendut,crowd,Crowd Level,1,0,1,0,-1.0
Candi Prambanan,historical_value,Historical/Cultural Value,7,4,2,1,0.286
Candi Prambanan,scenery,Scenery/View,6,3,2,1,0.167
Candi Prambanan,price,Price/Value,5,2,3,0,-0.2
Candi Prambanan,cleanliness,Cleanliness,4,2,2,0,0.0
Candi Prambanan,accessibility,Accessibility,4,2,1,1,0.25
Candi Prambanan,atmosphere,Atmosphere,4,2,2,0,0.0
Candi Prambanan,food,Food & Beverage,4,2,2,0,0.0
Candi Prambanan,crowd,Crowd Level,4,2,2,0,0.0
Candi Prambanan,service,Service,3,2,1,0,0.333
Candi Prambanan,safety,Safety,3,2,1,0,0.333
Candi Prambanan,photo_spot,Photo Spots,3,3,0,0,1.0
Candi Prambanan,facilities,Facilities,2,1,1,0,0.0
Gumuk Pasir Parangkusumo,scenery,Scenery/View,10,1,9,0,-0.8
Gumuk Pasir Parangkusumo,accessibility,Accessibility,8,1,7,0,-0.75
Gumuk Pasir Parangkusumo,safety,Safety,7,1,6,0,-0.714
Gumuk Pasir Parangkusumo,photo_spot,Photo Spots,6,1,5,0,-0.667
Gumuk Pasir Parangkusumo,crowd,Crowd Level,4,1,3,0,-0.5
Gumuk Pasir Parangkusumo,service,Service,4,0,4,0,-1.0
Gumuk Pasir Parangkusumo,atmosphere,Atmosphere,3,1,2,0,-0.333
Gumuk Pasir Parangkusumo,cleanliness,Cleanliness,3,0,3,0,-1.0
Gumuk Pasir Parangkusumo,facilities,Facilities,3,0,3,0,-1.0
Gumuk Pasir Parangkusumo,food,Food & Beverage,2,1,1,0,0.0
Gumuk Pasir Parangkusumo,historical_value,Historical/Cultural Value,2,0,2,0,-1.0
Gumuk Pasir Parangkusumo,price,Price/Value,1,0,1,0,-1.0
Makam Raja-Raja Imogiri,scenery,Scenery/View,5,2,2,1,0.0
Makam Raja-Raja Imogiri,atmosphere,Atmosphere,5,2,3,0,-0.2
Makam Raja-Raja Imogiri,accessibility,Accessibility,5,0,5,0,-1.0
Makam Raja-Raja Imogiri,cleanliness,Cleanliness,4,2,2,0,0.0
Makam Raja-Raja Imogiri,price,Price/Value,4,2,2,0,0.0
Makam Raja-Raja Imogiri,safety,Safety,4,1,2,1,-0.25
Makam Raja-Raja Imogiri,facilities,Facilities,3,0,3,0,-1.0
Makam Raja-Raja Imogiri,food,Food & Beverage,2,1,1,0,0.0
Makam Raja-Raja Imogiri,historical_value,Historical/Cultural Value,2,1,1,0,0.0
Makam Raja-Raja Imogiri,photo_spot,Photo Spots,2,1,1,0,0.0
Makam Raja-Raja Imogiri,service,Service,1,0,1,0,-1.0
Makam Raja-Raja Imogiri,crowd,Crowd Level,1,0,1,0,-1.0
Malioboro,accessibility,Accessibility,9,2,7,0,-0.556
Malioboro,atmosphere,Atmosphere,7,2,5,0,-0.429
Malioboro,food,Food & Beverage,6,1,5,0,-0.667
Malioboro,crowd,Crowd Level,5,1,4,0,-0.6
Malioboro,scenery,Scenery/View,4,1,3,0,-0.5
Malioboro,facilities,Facilities,3,0,3,0,-1.0
Malioboro,safety,Safety,3,0,3,0,-1.0
Malioboro,cleanliness,Cleanliness,2,0,2,0,-1.0
Malioboro,service,Service,2,0,2,0,-1.0
Malioboro,historical_value,Historical/Cultural Value,2,0,2,0,-1.0
Malioboro,photo_spot,Photo Spots,2,2,0,0,1.0
Museum Ullen Sentalu,historical_value,Historical/Cultural Value,10,5,5,0,0.0
Museum Ullen Sentalu,price,Price/Value,8,5,3,0,0.25
Museum Ullen Sentalu,service,Service,7,5,2,0,0.429
Museum Ullen Sentalu,scenery,Scenery/View,6,2,4,0,-0.333
Museum Ullen Sentalu,atmosphere,Atmosphere,5,2,3,0,-0.2
Museum Ullen Sentalu,safety,Safety,5,3,2,0,0.2
Museum Ullen Sentalu,photo_spot,Photo Spots,5,2,3,0,-0.2
Museum Ullen Sentalu,cleanliness,Cleanliness,4,2,2,0,0.0
Museum Ullen Sentalu,accessibility,Accessibility,3,1,2,0,-0.333
Museum Ullen Sentalu,crowd,Crowd Level,3,3,0,0,1.0
Museum Ullen Sentalu,food,Food & Beverage,3,2,1,0,0.333
Pantai Baron,cleanliness,Cleanliness,3,0,3,0,-1.0
Pantai Baron,safety,Safety,3,0,3,0,-1.0
Pantai Baron,scenery,Scenery/View,2,0,2,0,-1.0
Pantai Baron,crowd,Crowd Level,2,0,2,0,-1.0
Pantai Baron,atmosphere,Atmosphere,2,0,2,0,-1.0
Pantai Baron,facilities,Facilities,2,0,2,0,-1.0
Pantai Baron,accessibility,Accessibility,2,0,2,0,-1.0
Pantai Baron,price,Price/Value,2,0,2,0,-1.0
Pantai Baron,food,Food & Beverage,2,0,2,0,-1.0
Pantai Baron,photo_spot,Photo Spots,1,0,1,0,-1.0
Pantai Baru,food,Food & Beverage,14,3,10,1,-0.5
Pantai Baru,safety,Safety,10,1,8,1,-0.7
Pantai Baru,cleanliness,Cleanliness,7,2,4,1,-0.286
Pantai Baru,facilities,Facilities,7,2,5,0,-0.429
Pantai Baru,accessibility,Accessibility,7,2,5,0,-0.429
Pantai Baru,price,Price/Value,6,1,4,1,-0.5
Pantai Baru,atmosphere,Atmosphere,6,1,4,1,-0.5
Pantai Baru,scenery,Scenery/View,5,1,3,1,-0.4
Pantai Baru,photo_spot,Photo Spots,4,2,2,0,0.0
Pantai Baru,service,Service,3,1,1,1,0.0
Pantai Baru,crowd,Crowd Level,3,1,2,0,-0.333
Pantai Baru,historical_value,Historical/Cultural Value,1,1,0,0,1.0
Pantai Depok,food,Food & Beverage,5,1,4,0,-0.6
Pantai Depok,accessibility,Accessibility,5,1,4,0,-0.6
Pantai Depok,price,Price/Value,3,1,2,0,-0.333
Pantai Depok,facilities,Facilities,3,1,2,0,-0.333
Pantai Depok,scenery,Scenery/View,3,1,2,0,-0.333
Pantai Depok,safety,Safety,3,1,2,0,-0.333
Pantai Depok,photo_spot,Photo Spots,2,0,2,0,-1.0
Pantai Depok,atmosphere,Atmosphere,2,0,2,0,-1.0
Pantai Depok,cleanliness,Cleanliness,1,0,1,0,-1.0
Pantai Depok,crowd,Crowd Level,1,0,1,0,-1.0
Pantai Drini,scenery,Scenery/View,4,0,4,0,-1.0
Pantai Drini,atmosphere,Atmosphere,4,1,3,0,-0.5
Pantai Drini,facilities,Facilities,4,0,4,0,-1.0
Pantai Drini,price,Price/Value,3,0,3,0,-1.0
Pantai Drini,food,Food & Beverage,3,0,3,0,-1.0
Pantai Drini,crowd,Crowd Level,3,1,2,0,-0.333
Pantai Drini,safety,Safety,2,0,2,0,-1.0
Pantai Drini,accessibility,Accessibility,2,0,2,0,-1.0
Pantai Drini,cleanliness,Cleanliness,1,0,1,0,-1.0
Pantai Gesing,scenery,Scenery/View,6,4,2,0,0.333
Pantai Gesing,facilities,Facilities,4,3,1,0,0.5
Pantai Gesing,price,Price/Value,4,4,0,0,1.0
Pantai Gesing,accessibility,Accessibility,4,3,1,0,0.5
Pantai Gesing,photo_spot,Photo Spots,4,3,1,0,0.5
Pantai Gesing,atmosphere,Atmosphere,2,2,0,0,1.0
Pantai Gesing,safety,Safety,2,2,0,0,1.0
Pantai Gesing,food,Food & Beverage,2,2,0,0,1.0
Pantai Gesing,cleanliness,Cleanliness,2,2,0,0,1.0
Pantai Gesing,service,Service,1,1,0,0,1.0
Pantai Indrayanti,accessibility,Accessibility,7,0,7,0,-1.0
Pantai Indrayanti,scenery,Scenery/View,5,0,5,0,-1.0
Pantai Indrayanti,atmosphere,Atmosphere,5,0,5,0,-1.0
Pantai Indrayanti,cleanliness,Cleanliness,5,0,5,0,-1.0
Pantai Indrayanti,food,Food & Beverage,4,0,4,0,-1.0
Pantai Indrayanti,facilities,Facilities,4,0,4,0,-1.0
Pantai Indrayanti,crowd,Crowd Level,3,0,3,0,-1.0
Pantai Indrayanti,price,Price/Value,3,0,3,0,-1.0
Pantai Indrayanti,safety,Safety,2,0,2,0,-1.0
Pantai Indrayanti,photo_spot,Photo Spots,2,0,2,0,-1.0
Pantai Kesirat,scenery,Scenery/View,10,5,5,0,0.0
Pantai Kesirat,accessibility,Accessibility,8,5,3,0,0.25
Pantai Kesirat,safety,Safety,7,4,3,0,0.143
Pantai Kesirat,facilities,Facilities,5,2,3,0,-0.2
Pantai Kesirat,cleanliness,Cleanliness,5,3,2,0,0.2
Pantai Kesirat,atmosphere,Atmosphere,5,4,1,0,0.6
Pantai Kesirat,food,Food & Beverage,4,2,2,0,0.0
Pantai Kesirat,price,Price/Value,4,3,1,0,0.5
Pantai Kesirat,photo_spot,Photo Spots,4,3,1,0,0.5
Pantai Kesirat,crowd,Crowd Level,2,2,0,0,1.0
Pantai Kesirat,service,Service,1,1,0,0,1.0
Pantai Krakal,safety,Safety,3,0,3,0,-1.0
Pantai Krakal,food,Food & Beverage,1,0,1,0,-1.0
Pantai Krakal,cleanliness,Cleanliness,1,0,1,0,-1.0
Pantai Krakal,facilities,Facilities,1,0,1,0,-1.0
Pantai Krakal,price,Price/Value,1,0,1,0,-1.0
Pantai Krakal,service,Service,1,0,1,0,-1.0
Pantai Krakal,accessibility,Accessibility,1,0,1,0,-1.0
Pantai Krakal,scenery,Scenery/View,1,0,1,0,-1.0
Pantai Krakal,atmosphere,Atmosphere,1,0,1,0,-1.0
Pantai Krakal,crowd,Crowd Level,1,0,1,0,-1.0
Pantai Krakal,historical_value,Historical/Cultural Value,1,0,1,0,-1.0
Pantai Kukup,food,Food & Beverage,9,1,8,0,-0.778
Pantai Kukup,safety,Safety,7,1,6,0,-0.714
Pantai Kukup,accessibility,Accessibility,7,1,6,0,-0.714
Pantai Kukup,scenery,Scenery/View,6,1,5,0,-0.667
Pantai Kukup,cleanliness,Cleanliness,4,1,3,0,-0.5
Pantai Kukup,atmosphere,Atmosphere,4,0,4,0,-1.0
Pantai Kukup,crowd,Crowd Level,4,0,4,0,-1.0
Pantai Kukup,photo_spot,Photo Spots,3,1,2,0,-0.333
Pantai Kukup,facilities,Facilities,3,0,3,0,-1.0
Pantai Kukup,price,Price/Value,2,0,2,0,-1.0
Pantai Kukup,service,Service,2,0,2,0,-1.0
Pantai Nglambor,facilities,Facilities,5,0,5,0,-1.0
Pantai Nglambor,accessibility,Accessibility,5,0,5,0,-1.0
Pantai Nglambor,scenery,Scenery/View,3,0,2,1,-0.667
Pantai Nglambor,photo_spot,Photo Spots,3,0,3,0,-1.0
Pantai Nglambor,price,Price/Value,3,0,3,0,-1.0
Pantai Nglambor,atmosphere,Atmosphere,3,0,2,1,-0.667
Pantai Nglambor,service,Service,2,0,2,0,-1.0
Pantai Nglambor,food,Food & Beverage,2,0,2,0,-1.0
Pantai Nglambor,cleanliness,Cleanliness,2,0,2,0,-1.0
Pantai Nglambor,safety,Safety,2,0,1,1,-0.5
Pantai Nglambor,crowd,Crowd Level,2,0,2,0,-1.0
Pantai Ngobaran,scenery,Scenery/View,10,3,5,2,-0.2
