destination,username,stars,original_text,cleanliness_sentiment,cleanliness_confidence,facilities_sentiment,facilities_confidence,price_sentiment,price_confidence,service_sentiment,service_confidence,accessibility_sentiment,accessibility_confidence,scenery_sentiment,scenery_confidence,atmosphere_sentiment,atmosphere_confidence,food_sentiment,food_confidence,safety_sentiment,safety_confidence,crowd_sentiment,crowd_confidence,photo_spot_sentiment,photo_spot_confidence,historical_value_sentiment,historical_value_confidence,aspects_detected,aspect_sentiments,num_aspects
Pantai Baron,yakob daud aurariskar,3,Pantai Baron merupakan sebuah teluk berbentuk 'U' yang diapit oleh perbukitan karang berwarna hijau. Meski pasir pantai yang dimiliki berwarna hitam. Namun dengan ada jalur pendakian sisi timur lumayan mengurangi rasa kekecewaan. . Tidak bisa buat berenang karena air laut nya penuh endapan lumpur dan kotor. Karena disini seperti pos kapal penangkapan ikan juga. Jadi banyak kapal lalu lalang dan menjual hasil tangkapan ikan. Disamping pantai nya juga menjorok jadi nya nya jangan berharap bisa ber,negative,0.394,,,,,,,,,negative,0.394,,,,,,,negative,0.394,,,,,"cleanliness, scenery, crowd",cleanliness:negative; scenery:negative; crowd:negative,3
Malioboro,Ariful Anwar,5,pasti mampir kesini buat nyari oleh2 kalau dari gunung kidul,negative,0.536,negative,0.536,,,negative,0.536,negative,0.536,negative,0.536,negative,0.536,negative,0.536,negative,0.536,negative,0.536,,,negative,0.536,"cleanliness, facilities, service, accessibility, scenery, atmosphere, food, safety, crowd, historical_value",cleanliness:negative; facilities:negative; service:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative; historical_value:negative,10
Pantai Ngobaran,Poe,5,"Pantainya indah, vibesnya kayak di bali, candi dan budayanya masih kental. Kamu juga bisa menyewa pakaian adat bali.",,,,,,,,,,,positive,0.927,,,,,,,,,,,positive,0.927,"scenery, historical_value",scenery:positive; historical_value:positive,2
Sendang Sono,Steffi Wong,5,"Untuk lokasi dia diatas gunung gitu agak menanjak. Nah kalau pakai grab suruh nunggu aja kalau tidak susah untuk dapat driver pulangnya. Untuk tempat asri, tidak terlalu susah juga medannya. Masuk tidak bayar. Bisa beli rosario etc juga di pintu masuk gitu. Kalau mau ibadah pakai lilin beli dulu sebelum naik. Yang galau mau ibadah bisa kemari karena katanya sih ini paling terkenal disana. Patung Bunda Marianya cantik banget . Walau bukan Katholik kita bisa juga kesana ya",,,,,negative,0.655,,,,,negative,0.655,,,,,,,,,,,,,"price, scenery",price:negative; scenery:negative,2
Prawirotaman,Maulana Isfailah,5,"Kalau ke jalan ini, ya pasti ke tempo gelato. Sepanjang jalan ini juga banyak cafe resto dan juga toko pernak pernik kerajinan.",,,,,,,,,positive,0.38,,,,,positive,0.38,,,,,,,,,"accessibility, food",accessibility:positive; food:positive,2
Pantai Sadranan,Nisha Mahfudz,5,"Worth it untuk dikunjungi ya guys, anak2 happy. Oya kalo naik kano usahakan pinjem sepatu dadi penyedia jasa, pas surut sakit bgt jalan dikarang buat geser kano.",,,,,positive,0.987,,,positive,0.987,,,,,,,,,,,,,,,"price, accessibility",price:positive; accessibility:positive,2
Candi Kalasan,Budi Prasetyo Utomo,4,Resto yg cocok unt kumpul keluarga dan sahabat ... Dgn menu masakan yg beragam dan laziz ...😀👍 Letak strategis dan mudah parkir.,,,positive,0.795,,,,,positive,0.795,,,,,positive,0.795,,,,,,,,,"facilities, accessibility, food",facilities:positive; accessibility:positive; food:positive,3
Museum Ullen Sentalu,Dena Pangesti,4,"Bagus si. Cocok buat orang yg suka sama sejarah. Asa 3 jenis tiket, paling murah 50rb, 60rb sama 100rb. Lokasinya jauh banget di dataran tinggi, jadi harus siap fisik yg fit",,,,,negative,0.599,,,negative,0.599,negative,0.599,,,,,,,,,,,negative,0.599,"price, accessibility, scenery, historical_value",price:negative; accessibility:negative; scenery:negative; historical_value:negative,4
Sendang Sono,Definisi ikan segar,5,"Saya berkunjung ke keluarga. Setelah menaiki gunung, turunin lembah, dan sungai mengalir. Akhirnya sampai...",negative,0.634,negative,0.634,negative,0.634,negative,0.634,negative,0.634,negative,0.634,negative,0.634,negative,0.634,negative,0.634,negative,0.634,,,negative,0.634,"cleanliness, facilities, price, service, accessibility, scenery, atmosphere, food, safety, crowd, historical_value",cleanliness:negative; facilities:negative; price:negative; service:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative; historical_value:negative,11
Pantai Sadeng,Dwin desta,4,"Objek wisata ini cukup mengesankan dengan menghadirkan panorama pasir putih yang dipadukan dengan air laut sehingga. Menghasilkan rona yang berbeda. Ombak di Pantai Sadeng tidak terlalu besar. Sehingga, anda bisa memanfaatkannya dengan cara berenang. Hanya saja perlu diperhatikan untuk tidak sampai ke tengah. Untuk menikmati setiap pesona yang ditawarkan anda wajib membayar harga tiket masuk Pantai Sadeng sebesar 5 ribu rupiah. Di tambah dengan uang parkir yang akan dikenakan 10 ribu rupiah untu",,,negative,0.373,negative,0.373,,,negative,0.373,,,,,negative,0.373,negative,0.373,,,negative,0.373,,,"facilities, price, accessibility, food, safety, photo_spot",facilities:negative; price:negative; accessibility:negative; food:negative; safety:negative; photo_spot:negative,6
