topic_id,document_count,percentage,top_words
0,79,5.16%,"cafe, makanan, jalan, nongkrong, jogja, city, jagung, tempatnya, enak, bali"
1,66,4.31%,"snorkeling, pantai, snorkling, nglambor, air, pantai nglambor, kano, laut, ombak, karang"
2,54,3.53%,"seafood, ikan, makan, pantai, enak, udang, pantainya, segar, murah, warung"
3,53,3.46%,"museum, tour, tur, guide, sejarah, tour guide, koleksi, mataram, menjelaskan, area"
4,50,3.27%,"foto, spot, tiket, bagus, seikhlasnya, spot foto, bayar, parkir, tempatnya, masuk"
5,45,2.94%,"jogja, malioboro, tugu, jalan, tugu jogja, ramai, rindu, kendaraan, jalan malioboro, lewat"
6,45,2.94%,"foto, bali, fotografer, pantai, bagus, jasa, baju, rb, adat, fotonya"
7,44,2.88%,"pantai, yogyakarta, rp, krakal, pasir, pantai krakal, drini, makan, laut, pantai drini"
8,42,2.75%,"candi, pesanggrahan, kalasan, buddha, bangunan, dibangun, candi kalasan, merupakan, terdapat, relief"
9,40,2.61%,"kapal, pelabuhan, nelayan, ikan, pantai, perahu, laut, dermaga, kapal nelayan, gesing"
10,38,2.48%,"ombaknya, liat, pantainya, hati, sunset, bagus, pantai, sunrise, hati hati, pasang"
11,37,2.42%,"toilet, mandi, kamar, kamar mandi, pantai, luas, mushola, tersedia, warung, pasir"
12,37,2.42%,"parkir, mobil, masuk, jalan, tiket, ramai, rb, parkir mobil, area, motor"
13,35,2.29%,"makam, raja, tangga, makam raja, sultan, naik, raja raja, sultan agung, imogiri, agung"
14,34,2.22%,"hewan, zoo, mini, mini zoo, anak, spot, spot foto, foto, luas, tempatnya"
15,26,1.70%,"camping, pantainya, pantai, jeep, tenda, tebing, cocok, bagus, akses, camp"
16,26,1.70%,"berdoa, maria, doa, ziarah, umat, katolik, gua maria, sendangsono, gua, tenang"
17,24,1.57%,"jeep, gumuk, pasir, gumuk pasir, seru, naik jeep, adrenalin, naik, video, panas"
18,22,1.44%,"candi, foto, prambanan, candi prambanan, pemandangannya, cantik, tempatnya, taman, area, taman sari"
19,21,1.37%,"tugu, yogyakarta, kota, prambanan, ikonik, kota yogyakarta, lampu, yogya, jogja, tugu jogja"
20,18,1.18%,"solo, lbh, bener, pantai, candi, jm, hrg, roti, yogya, adventure"
21,17,1.11%,"pantai, menikmati, bersantai, pantainya, suasana, ramai, suasana pantai, cocok, parangtritis, bagus"
22,16,1.05%,"parkir, rb, masuk, pantai, tdk, rp, bayar, mobil, ramai, tpr"
